name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque_NM,torque_rpm
Maruti,0.23076923076923078,450000,145500,Diesel,Individual,0,First Owner,23.4,1248,74.0,5,190.0,2000.0
Skoda,0.23076923076923078,370000,120000,Diesel,Individual,0,Second Owner,21.14,1498,103.52,5,250.0,1500.0
Honda,0.5384615384615384,158000,140000,Petrol,Individual,0,Third Owner,17.7,1497,78.0,5,12.7,2.0
Hyundai,0.38461538461538464,225000,127000,Diesel,Individual,0,First Owner,23.0,1396,90.0,5,22.4,1750.0
Maruti,0.5,130000,120000,Petrol,Individual,0,First Owner,16.1,1298,88.2,5,11.5,4.0
Hyundai,0.11538461538461539,440000,45000,Petrol,Individual,0,First Owner,20.14,1197,81.86,5,113.75,4000.0
Maruti,0.5,96000,175000,LPG,Individual,0,First Owner,17.3,1061,57.5,5,7.8,4.0
Maruti,0.7307692307692307,45000,5000,Petrol,Individual,0,Second Owner,16.1,796,37.0,4,59.0,2500.0
Toyota,0.34615384615384615,350000,90000,Diesel,Individual,0,First Owner,23.59,1364,67.1,5,170.0,1800.0
Ford,0.2692307692307692,200000,169000,Diesel,Individual,0,First Owner,20.0,1399,68.1,5,160.0,2000.0
Renault,0.23076923076923078,500000,68000,Diesel,Individual,0,Second Owner,19.01,1461,108.45,5,248.0,2250.0
Maruti,0.5769230769230769,92000,100000,Petrol,Individual,0,Second Owner,17.3,993,60.0,5,78.0,4500.0
Maruti,0.4230769230769231,280000,140000,Diesel,Individual,0,Second Owner,19.3,1248,73.9,5,190.0,2000.0
Maruti,0.4230769230769231,180000,90000,Petrol,Individual,0,Second Owner,18.9,1061,67.0,5,84.0,3500.0
Mahindra,0.15384615384615385,400000,40000,Petrol,Individual,0,First Owner,18.15,1198,82.0,5,115.0,3500.0
Maruti,0.15384615384615385,778000,70000,Diesel,Individual,0,Second Owner,24.52,1248,88.5,7,200.0,1750.0
Hyundai,0.3076923076923077,500000,53000,Diesel,Individual,0,Second Owner,23.0,1396,90.0,5,22.4,1750.0
Maruti,0.6923076923076923,150000,80000,Petrol,Individual,0,Second Owner,19.7,796,46.3,5,62.0,3000.0
Hyundai,0.15384615384615385,680000,100000,Diesel,Individual,0,First Owner,22.54,1396,88.73,5,219.7,1500.0
Mahindra,0.34615384615384615,174000,100000,Diesel,Individual,0,Second Owner,21.0,1461,64.1,5,160.0,2000.0
Honda,0.11538461538461539,950000,50000,Diesel,Individual,0,First Owner,25.5,1498,98.6,5,200.0,1750.0
Maruti,0.19230769230769232,525000,40000,Diesel,Individual,0,First Owner,26.59,1248,74.0,5,190.0,2000.0
Maruti,0.3076923076923077,600000,72000,Diesel,Individual,0,First Owner,21.5,1248,88.8,5,200.0,1750.0
Tata,0.07692307692307693,500000,35000,Petrol,Individual,0,First Owner,20.3,1199,83.81,5,114.0,3500.0
Maruti,0.15384615384615385,575000,45000,Petrol,Individual,0,First Owner,21.4,1197,83.1,5,115.0,4000.0
Maruti,0.11538461538461539,275000,28000,Petrol,Individual,0,First Owner,24.7,796,47.3,5,69.0,3500.0
Chevrolet,0.2692307692307692,300000,70000,Diesel,Individual,0,First Owner,18.2,1248,73.8,7,172.5,1750.0
Maruti,0.4230769230769231,220000,120000,Petrol,Individual,0,First Owner,18.9,1061,67.0,5,84.0,3500.0
Maruti,0.07692307692307693,254999,25000,Petrol,Individual,0,First Owner,16.8,796,34.2,8,59.0,2500.0
Maruti,0.11538461538461539,670000,70000,Diesel,Individual,0,First Owner,24.3,1248,88.5,5,200.0,1750.0
Maruti,0.3076923076923077,150000,35000,Petrol,Individual,0,Second Owner,14.0,796,35.0,5,6.1,3000.0
Hyundai,0.07692307692307693,730000,2388,Petrol,Individual,0,First Owner,18.6,1197,81.83,5,114.7,4000.0
Maruti,0.11538461538461539,650000,16200,Diesel,Individual,0,First Owner,24.3,1248,88.5,5,200.0,1750.0
Maruti,0.038461538461538464,330000,10000,CNG,Individual,0,Second Owner,33.44,796,40.3,4,60.0,3500.0
Maruti,0.038461538461538464,366000,15000,Petrol,Individual,0,First Owner,23.95,998,67.1,5,90.0,3500.0
Hyundai,0.038461538461538464,1149000,5000,Petrol,Individual,0,First Owner,17.0,1591,121.3,5,151.0,4850.0
Datsun,0.15384615384615385,150000,42000,Petrol,Individual,0,First Owner,20.63,1198,67.0,5,104.0,4000.0
Tata,0.34615384615384615,425000,60000,Diesel,Individual,0,Second Owner,13.93,2179,138.03,7,320.0,1700.0
Maruti,0.3076923076923077,150000,76000,Petrol,Individual,0,First Owner,16.1,796,37.0,4,59.0,2500.0
